N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,24,129,124,101,98,0.4080773691410359,0.41858511218559086,0
3,24,683,671,516,532,0.07200555851443528,0.07370135971151255,0
4,24,1602,1548,1143,1141,0.03313289596024284,0.033456406511106186,0
5,24,5568,5349,3474,3427,0.016240387131738837,0.016185127996883934,0
6,24,14972,14800,9039,9212,0.007918516917490584,0.007896302988087509,0
7,24,50615,49841,39859,39846,0.004076211550480288,0.0040344541584620575,0
8,24,138058,136379,98822,98283,0.0021338208852514436,0.0021531480262188965,0
2,24,83,83,72,71,0.43370184397580264,0.4321215959851176,1
3,24,436,428,314,309,0.0776846729441839,0.07863092451527648,1
4,24,1628,1620,969,970,0.03242295450328597,0.03230311608204499,1
5,24,4966,4990,3004,3005,0.01609777888376248,0.016060325076200838,1
6,24,14346,14351,8725,8728,0.00793682372696242,0.00791570257696692,1
7,24,32947,32806,26269,26321,0.004027503847994822,0.004030377918863284,1
8,24,79385,79167,59828,59665,0.0021602427035106314,0.002116817607946195,1
2,24,94,95,74,73,0.4794242751176962,0.4755929355907141,2
3,24,482,486,322,322,0.07754924472671579,0.078593158141711,2
4,24,1843,1846,969,970,0.03175092064009312,0.032438090120959724,2
5,24,5185,5161,3003,3003,0.015625571785758775,0.01579783817224794,2
6,24,15152,15095,8714,8717,0.007802396274864217,0.007849643679157015,2
7,24,33192,33168,26105,26219,0.0040103285598622135,0.0040423828817249905,2
8,24,83227,83272,57004,56864,0.0020887404930858616,0.0020276399833070455,2
2,24,96,95,74,73,0.46470793564638235,0.4636191965348459,3
3,24,476,486,316,322,0.0793577471828538,0.07730109059937215,3
4,24,1843,1846,969,970,0.03156653719639201,0.03242700236212668,3
5,24,5185,5159,3003,3004,0.015726926817254527,0.016077283872731454,3
6,24,15153,15096,8714,8716,0.007783531463368652,0.007800479739740572,3
7,24,33092,33257,26013,26293,0.003996021879646107,0.003989347262044029,3
8,24,83249,83284,56960,56840,0.0020547663991774363,0.002074290317279429,3
